Data Type:                         CLASS 10 SECOND DATA
Project ID:                        TOGA/COARE: KAVIENG
Launch Site Type/Site ID:          FIXED, KAV
Launch Location (lon,lat,alt):     150 48.00E, 02 35.00S, 150.8, -2.58333, 3
GMT Launch Time (y,m,d,h,m,s):     1993, 01, 17, 17:12:16
Sonde Type/ID/Sensor ID/Tx Freq:   VAISALA RS80-15N 0, 0, 400.525
Met Processor/Met Smoothing:       NCAR RS80 PROCESSOR, 10 SECONDS
Winds Type/Processor/Smoothing:    OMEGA, TRIMBLE MINI-OMEGA, 240 SECONDS
Pre-launch Met Obs Source:         CAMPBELL SCIENTIFIC CR10
System Operator/Comments:          KUSUNAN SULUSUL, (REPROCESSED),NONE
/
/
 Time  Press  Temp  Dewpt  RH    Uwind  Vwind  Wspd  Dir   dZ      Lon     Lat    Rng   Az     Alt    Qp   Qt   Qh   Qu   Qv   Quv
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s     deg     deg     km   deg     m     mb   C    %    m/s  m/s  m/s
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- -------- ------- ----- ----- ------- ---- ---- ---- ---- ---- ----
 -98.0 1004.9  24.2  23.7  97.0    0.0    0.0   0.0   3.8   0.0  150.800  -2.583   0.0   0.0     3.0 77.0 77.0 77.0 77.0 77.0 77.0
  10.0  999.8  26.0  24.7  92.4    0.0    -.1    .1  12.4   4.5  150.799  -2.586    .3 198.2    48.2   .4   .3   .8 88.0 88.0 88.0
  20.0  993.8  26.7  24.3  86.8    -.1    -.3    .3  12.4   5.3  150.799  -2.586    .3 198.2   101.3   .3  0.0   .3 88.0 88.0 88.0
  30.0  988.3  26.4  24.0  86.7    -.1    -.4    .4  12.4   4.9  150.799  -2.586    .3 198.1   150.4   .2  0.0   .1 88.0 88.0 88.0
  40.0  982.7  26.0  23.8  87.8    -.1    -.5    .5  12.4   5.0  150.799  -2.586    .3 198.1   200.6   .2   .1   .1 88.0 88.0 88.0
  50.0  978.1  25.8  23.7  88.6    -.1    -.6    .6  12.4   4.2  150.799  -2.586    .3 198.0   242.6   .1  0.0   .1 88.0 88.0 88.0
  60.0  973.3  25.4  23.6  89.7    -.2    -.8    .8  12.4   4.3  150.799  -2.586    .3 197.8   285.7   .2  0.0   .1 88.0 88.0 88.0
  70.0  967.5  25.0  23.5  91.0    -.2    -.9    .9  12.4   5.3  150.799  -2.586    .3 197.7   338.4   .5  0.0   .2 88.0 88.0 88.0
  80.0  961.8  24.6  23.3  92.2    -.2   -1.0   1.0  12.4   5.3  150.799  -2.586    .4 197.6   391.1   .4  0.0   .3 88.0 88.0 88.0
  90.0  956.6  24.3  23.0  92.5    -.3   -1.1   1.2  12.4   4.7  150.799  -2.586    .4 197.4   438.5   .4  0.0   .2 88.0 88.0 88.0
 100.0  950.5  23.8  22.7  93.8    -.3   -1.3   1.3  12.4   5.6  150.799  -2.587    .4 197.2   494.7   .3  0.0  1.0 88.0 88.0 88.0
 110.0  945.5  23.5  22.2  92.2    -.3   -1.4   1.4  12.4   4.6  150.799  -2.587    .4 197.1   540.7   .4  0.0   .4 88.0 88.0 88.0
 120.0  940.1  23.3  21.7  90.8    -.3   -1.5   1.6  12.4   5.1  150.799  -2.587    .4 196.9   591.5   .2  0.0   .4 88.0 88.0 88.0
 130.0  935.3  23.1  21.1  89.0    -.4   -1.4   1.4  16.2   4.5  150.799  -2.587    .4 196.9   636.1   .2  0.0   .2   .1   .1   .2
 140.0  930.7  22.7  20.9  89.2    -.4   -1.2   1.3  19.9   4.3  150.799  -2.587    .4 196.9   679.6   .2  0.0   .2   .1   .1   .2
 150.0  925.1  22.4  20.6  89.4    -.5   -1.0   1.1  26.2   5.3  150.799  -2.587    .4 197.1   732.2   .2  0.0   .2   .1   .1   .2
 160.0  919.4  22.1  20.3  89.5    -.4    -.8    .9  27.5   5.4  150.799  -2.587    .4 197.3   786.5   .4  0.0   .2   .1   .1   .2
 170.0  914.2  21.7  20.0  89.8    -.4    -.6    .7  33.4   4.9  150.799  -2.587    .4 197.5   835.8   .2  0.0   .2   .2   .1   .2
 180.0  908.6  21.4  19.6  89.7    -.2    -.4    .5  31.7   5.4  150.799  -2.587    .5 197.7   889.4   .3  0.0   .4   .2   .1   .2
 190.0  903.1  21.3  18.9  86.4    -.2    -.3    .3  33.0   5.2  150.799  -2.587    .5 197.9   941.5   .3  0.0   .3   .2   .1   .2
 200.0  897.9  21.1  18.4  84.5    -.2    -.2    .3  50.6   5.1  150.799  -2.587    .5 198.0   992.5   .1  0.0   .3   .2   .1   .2
 210.0  894.0  21.0  17.8  82.2    -.3    -.1    .3  63.6   3.8  150.799  -2.587    .5 198.2  1030.2   .2  0.0   .2   .2   .1   .2
 220.0  888.4  20.7  17.4  81.7    -.3    0.0    .3  87.5   5.4  150.799  -2.587    .5 198.5  1084.2   .3  0.0   .4   .2   .1   .2
 230.0  883.9  20.4  17.5  83.5    -.3     .1    .3 116.8   4.4  150.799  -2.587    .5 198.9  1128.5   .1  0.0   .1   .1   .1   .2
 240.0  879.8  20.1  17.4  84.7    -.1     .3    .3 155.4   4.0  150.799  -2.587    .5 199.2  1168.6   .3  0.0  0.0   .1   .1   .2
 250.0  875.9  19.9  17.2  84.7    0.0     .3    .3 187.9   3.9  150.799  -2.587    .5 199.4  1207.1   .3  0.0   .2   .1   .1   .2
 260.0  871.4  19.6  17.0  84.9     .3     .2    .3 239.0   4.5  150.799  -2.587    .5 199.3  1251.9   .2  0.0   .2   .1   .1   .2
 270.0  866.9  19.4  16.6  84.1     .7     .1    .7 260.7   4.5  150.799  -2.587    .5 198.8  1296.4   .1  0.0   .1   .1   .1   .2
 280.0  862.8  19.2  16.4  83.6    1.1     .1   1.1 263.9   4.1  150.799  -2.587    .4 197.8  1337.8   .1  0.0   .1   .1   .1   .2
 290.0  859.3  19.1  16.2  83.3    1.5     .2   1.5 263.3   3.5  150.799  -2.587    .4 196.2  1372.7   .1  0.0   .4   .1   .1   .2
 300.0  854.4  19.0  16.0  82.6    1.7     .3   1.7 260.7   4.9  150.799  -2.587    .4 194.3  1421.8   .2  0.0   .4   .1   .1   .2
 310.0  850.2  19.0  15.8  81.7    1.9     .4   1.9 259.3   4.2  150.799  -2.587    .4 192.1  1463.7   .2  0.0   .3   .1   .1   .2
 320.0  845.6  18.9  15.3  79.5    2.0     .3   2.0 260.9   4.7  150.799  -2.587    .4 189.6  1510.5   .2  0.0   .4   .1   .1   .2
 330.0  841.0  18.8  14.9  78.3    2.1     .2   2.1 264.4   4.7  150.800  -2.587    .4 186.9  1557.8   .4  0.0   .2   .1   .1   .2
 340.0  836.4  18.3  14.6  78.9    2.3     .2   2.3 265.6   4.7  150.800  -2.587    .4 183.9  1604.6   .1  0.0   .2   .1   .1   .2
 350.0  832.1  17.9  14.6  80.6    2.4     .1   2.4 267.1   4.4  150.800  -2.587    .4 180.7  1649.0   .1  0.0   .1   .1   .1   .2
 360.0  826.9  17.5  14.0  79.8    2.5    0.0   2.5 269.1   5.4  150.800  -2.587    .4 177.3  1702.9   .3  0.0   .4   .1   .1   .2
 370.0  823.0  17.3  13.4  77.9    2.5    0.0   2.5 270.3   4.1  150.800  -2.587    .4 173.9  1744.0   .4  0.0   .2   .1   .1   .2
 380.0  819.2  17.1  13.1  77.5    2.3    -.1   2.3 273.2   4.0  150.801  -2.587    .4 170.6  1783.6   .1  0.0   .5   .2   .1   .2
 390.0  815.1  16.8  13.0  78.1    2.2    -.2   2.2 274.9   4.2  150.801  -2.587    .4 167.6  1825.8   .2  0.0   .7   .2   .1   .2
 400.0  811.1  16.6  12.5  76.7    2.1    -.1   2.1 274.0   4.3  150.801  -2.587    .4 164.8  1868.6   .4  0.0   .4   .2   .1   .2
 410.0  806.8  16.4  12.2  76.0    2.1    -.1   2.1 273.3   4.5  150.801  -2.587    .4 162.2  1913.5   .1  0.0   .4   .2   .1   .2
 420.0  803.0  16.3  12.2  76.5    1.9    -.1   1.9 271.6   4.1  150.801  -2.587    .4 159.8  1954.1   .2  0.0   .3   .2   .1   .2
 430.0  799.0  16.1  11.6  74.7    1.6     .1   1.6 268.2   4.2  150.802  -2.587    .4 157.7  1996.4   .1  0.0   .1   .1   .1   .2
 440.0  794.8  15.8  11.0  72.8    1.3     .2   1.3 261.8   4.4  150.802  -2.587    .5 155.9  2040.9   .2  0.0   .2   .1   .1   .2
 450.0  791.2  15.7  11.0  73.8     .9     .3    .9 250.7   3.9  150.802  -2.587    .5 154.6  2079.6   .2  0.0   .5   .1   .1   .2
 460.0  787.9  15.3  11.8  79.3     .4     .4    .5 221.9   3.6  150.802  -2.587    .5 153.7  2115.2  0.0  0.0   .2   .1   .1   .2
 470.0  783.9  15.0  12.0  82.2    -.2     .6    .6 158.4   4.4  150.802  -2.587    .5 153.4  2159.0   .2  0.0   .5   .1   .1   .2
 480.0  780.2  14.8  11.7  81.8    -.9     .6   1.0 124.0   3.9  150.802  -2.587    .4 153.7  2198.4   .1  0.0   .3   .1   .1   .2
 490.0  776.8  14.5  11.7  83.0   -1.5     .6   1.6 111.4   3.8  150.802  -2.587    .4 154.7  2236.4   .1  0.0  0.0   .1   .1   .2
